start_time,away_team,away_team_score,home_team,home_team_score
2024-11-16 00:30:00+00:00,LOS ANGELES LAKERS,,SAN ANTONIO SPURS,
2024-11-16 01:00:00+00:00,LOS ANGELES CLIPPERS,,HOUSTON ROCKETS,
2024-11-16 01:00:00+00:00,DENVER NUGGETS,,NEW ORLEANS PELICANS,
2024-11-16 01:00:00+00:00,PHOENIX SUNS,,OKLAHOMA CITY THUNDER,
2024-11-16 03:00:00+00:00,MEMPHIS GRIZZLIES,,GOLDEN STATE WARRIORS,
2024-11-16 03:00:00+00:00,MINNESOTA TIMBERWOLVES,,SACRAMENTO KINGS,
2024-11-16 20:00:00+00:00,MILWAUKEE BUCKS,,CHARLOTTE HORNETS,
2024-11-17 01:00:00+00:00,TORONTO RAPTORS,,BOSTON CELTICS,
2024-11-17 01:00:00+00:00,LOS ANGELES LAKERS,,NEW ORLEANS PELICANS,
2024-11-17 01:30:00+00:00,SAN ANTONIO SPURS,,DALLAS MAVERICKS,
2024-11-17 03:00:00+00:00,UTAH JAZZ,,SACRAMENTO KINGS,
2024-11-17 20:30:00+00:00,PHOENIX SUNS,,MINNESOTA TIMBERWOLVES,
2024-11-17 22:00:00+00:00,MIAMI HEAT,,INDIANA PACERS,
2024-11-17 23:00:00+00:00,CHARLOTTE HORNETS,,CLEVELAND CAVALIERS,
2024-11-17 23:00:00+00:00,DENVER NUGGETS,,MEMPHIS GRIZZLIES,
2024-11-17 23:00:00+00:00,ATLANTA HAWKS,,PORTLAND TRAIL BLAZERS,
2024-11-17 23:00:00+00:00,DETROIT PISTONS,,WASHINGTON WIZARDS,
2024-11-18 00:00:00+00:00,HOUSTON ROCKETS,,CHICAGO BULLS,
2024-11-18 00:00:00+00:00,BROOKLYN NETS,,NEW YORK KNICKS,
2024-11-18 00:00:00+00:00,DALLAS MAVERICKS,,OKLAHOMA CITY THUNDER,
2024-11-18 02:00:00+00:00,UTAH JAZZ,,LOS ANGELES CLIPPERS,
2024-11-19 00:00:00+00:00,CHICAGO BULLS,,DETROIT PISTONS,
2024-11-19 00:30:00+00:00,PHILADELPHIA 76ERS,,MIAMI HEAT,
2024-11-19 00:30:00+00:00,WASHINGTON WIZARDS,,NEW YORK KNICKS,
2024-11-19 00:30:00+00:00,INDIANA PACERS,,TORONTO RAPTORS,
2024-11-19 01:00:00+00:00,HOUSTON ROCKETS,,MILWAUKEE BUCKS,
2024-11-19 02:00:00+00:00,ORLANDO MAGIC,,PHOENIX SUNS,
2024-11-19 03:00:00+00:00,ATLANTA HAWKS,,SACRAMENTO KINGS,
2024-11-19 03:30:00+00:00,GOLDEN STATE WARRIORS,,LOS ANGELES CLIPPERS,
2024-11-20 00:00:00+00:00,CLEVELAND CAVALIERS,,BOSTON CELTICS,
2024-11-20 00:30:00+00:00,CHARLOTTE HORNETS,,BROOKLYN NETS,
2024-11-20 01:00:00+00:00,DENVER NUGGETS,,MEMPHIS GRIZZLIES,
2024-11-20 01:30:00+00:00,NEW ORLEANS PELICANS,,DALLAS MAVERICKS,
2024-11-20 02:30:00+00:00,OKLAHOMA CITY THUNDER,,SAN ANTONIO SPURS,
2024-11-20 03:30:00+00:00,UTAH JAZZ,,LOS ANGELES LAKERS,
2024-11-21 00:30:00+00:00,NEW ORLEANS PELICANS,,CLEVELAND CAVALIERS,
2024-11-21 00:30:00+00:00,CHICAGO BULLS,,MILWAUKEE BUCKS,
2024-11-21 01:00:00+00:00,INDIANA PACERS,,HOUSTON ROCKETS,
2024-11-21 01:00:00+00:00,PHILADELPHIA 76ERS,,MEMPHIS GRIZZLIES,
2024-11-21 01:00:00+00:00,PORTLAND TRAIL BLAZERS,,OKLAHOMA CITY THUNDER,
2024-11-21 03:00:00+00:00,ATLANTA HAWKS,,GOLDEN STATE WARRIORS,
2024-11-21 03:00:00+00:00,NEW YORK KNICKS,,PHOENIX SUNS,
2024-11-21 03:30:00+00:00,ORLANDO MAGIC,,LOS ANGELES CLIPPERS,
2024-11-22 00:00:00+00:00,DETROIT PISTONS,,CHARLOTTE HORNETS,
2024-11-22 00:30:00+00:00,MINNESOTA TIMBERWOLVES,,TORONTO RAPTORS,
2024-11-22 01:00:00+00:00,UTAH JAZZ,,SAN ANTONIO SPURS,
2024-11-22 03:30:00+00:00,ORLANDO MAGIC,,LOS ANGELES LAKERS,
2024-11-23 00:00:00+00:00,BROOKLYN NETS,,PHILADELPHIA 76ERS,
2024-11-23 00:00:00+00:00,BOSTON CELTICS,,WASHINGTON WIZARDS,
2024-11-23 00:30:00+00:00,INDIANA PACERS,,MILWAUKEE BUCKS,
2024-11-23 01:00:00+00:00,ATLANTA HAWKS,,CHICAGO BULLS,
2024-11-23 01:00:00+00:00,PORTLAND TRAIL BLAZERS,,HOUSTON ROCKETS,
2024-11-23 01:00:00+00:00,GOLDEN STATE WARRIORS,,NEW ORLEANS PELICANS,
2024-11-23 03:00:00+00:00,DALLAS MAVERICKS,,DENVER NUGGETS,
2024-11-23 03:30:00+00:00,SACRAMENTO KINGS,,LOS ANGELES CLIPPERS,
2024-11-23 22:00:00+00:00,NEW YORK KNICKS,,UTAH JAZZ,
2024-11-24 00:00:00+00:00,DETROIT PISTONS,,ORLANDO MAGIC,
2024-11-24 01:00:00+00:00,MEMPHIS GRIZZLIES,,CHICAGO BULLS,
2024-11-24 01:00:00+00:00,PORTLAND TRAIL BLAZERS,,HOUSTON ROCKETS,
2024-11-24 01:00:00+00:00,CHARLOTTE HORNETS,,MILWAUKEE BUCKS,
2024-11-24 01:30:00+00:00,GOLDEN STATE WARRIORS,,SAN ANTONIO SPURS,
2024-11-24 03:30:00+00:00,DENVER NUGGETS,,LOS ANGELES LAKERS,
2024-11-24 20:30:00+00:00,MINNESOTA TIMBERWOLVES,,BOSTON CELTICS,
2024-11-24 22:00:00+00:00,WASHINGTON WIZARDS,,INDIANA PACERS,
2024-11-24 23:00:00+00:00,DALLAS MAVERICKS,,MIAMI HEAT,
2024-11-24 23:00:00+00:00,LOS ANGELES CLIPPERS,,PHILADELPHIA 76ERS,
2024-11-25 00:30:00+00:00,TORONTO RAPTORS,,CLEVELAND CAVALIERS,
2024-11-25 02:00:00+00:00,BROOKLYN NETS,,SACRAMENTO KINGS,
2024-11-26 00:00:00+00:00,ORLANDO MAGIC,,CHARLOTTE HORNETS,
2024-11-26 00:00:00+00:00,TORONTO RAPTORS,,DETROIT PISTONS,
2024-11-26 00:00:00+00:00,NEW ORLEANS PELICANS,,INDIANA PACERS,
2024-11-26 00:30:00+00:00,DALLAS MAVERICKS,,ATLANTA HAWKS,
2024-11-26 00:30:00+00:00,LOS ANGELES CLIPPERS,,BOSTON CELTICS,
2024-11-26 01:00:00+00:00,PORTLAND TRAIL BLAZERS,,MEMPHIS GRIZZLIES,
2024-11-26 02:00:00+00:00,NEW YORK KNICKS,,DENVER NUGGETS,
2024-11-26 03:00:00+00:00,BROOKLYN NETS,,GOLDEN STATE WARRIORS,
2024-11-26 03:00:00+00:00,OKLAHOMA CITY THUNDER,,SACRAMENTO KINGS,
2024-11-27 00:00:00+00:00,CHICAGO BULLS,,WASHINGTON WIZARDS,
2024-11-27 00:30:00+00:00,MILWAUKEE BUCKS,,MIAMI HEAT,
2024-11-27 01:00:00+00:00,HOUSTON ROCKETS,,MINNESOTA TIMBERWOLVES,
2024-11-27 02:00:00+00:00,SAN ANTONIO SPURS,,UTAH JAZZ,
2024-11-27 03:00:00+00:00,LOS ANGELES LAKERS,,PHOENIX SUNS,
2024-11-28 00:00:00+00:00,MIAMI HEAT,,CHARLOTTE HORNETS,
2024-11-28 00:00:00+00:00,ATLANTA HAWKS,,CLEVELAND CAVALIERS,
2024-11-28 00:00:00+00:00,PORTLAND TRAIL BLAZERS,,INDIANA PACERS,
2024-11-28 00:00:00+00:00,CHICAGO BULLS,,ORLANDO MAGIC,
2024-11-28 00:00:00+00:00,HOUSTON ROCKETS,,PHILADELPHIA 76ERS,
2024-11-28 00:00:00+00:00,LOS ANGELES CLIPPERS,,WASHINGTON WIZARDS,
2024-11-28 00:30:00+00:00,NEW YORK KNICKS,,DALLAS MAVERICKS,
2024-11-28 01:00:00+00:00,DETROIT PISTONS,,MEMPHIS GRIZZLIES,
2024-11-28 01:00:00+00:00,SACRAMENTO KINGS,,MINNESOTA TIMBERWOLVES,
2024-11-28 01:00:00+00:00,TORONTO RAPTORS,,NEW ORLEANS PELICANS,
2024-11-28 01:30:00+00:00,LOS ANGELES LAKERS,,SAN ANTONIO SPURS,
2024-11-28 02:00:00+00:00,BROOKLYN NETS,,PHOENIX SUNS,
2024-11-28 02:00:00+00:00,DENVER NUGGETS,,UTAH JAZZ,
2024-11-28 03:00:00+00:00,OKLAHOMA CITY THUNDER,,GOLDEN STATE WARRIORS,
2024-11-29 17:00:00+00:00,NEW YORK KNICKS,,CHARLOTTE HORNETS,
2024-11-29 19:30:00+00:00,CLEVELAND CAVALIERS,,ATLANTA HAWKS,
2024-11-29 22:00:00+00:00,NEW ORLEANS PELICANS,,MEMPHIS GRIZZLIES,
2024-11-30 00:30:00+00:00,ORLANDO MAGIC,,BROOKLYN NETS,
2024-11-30 00:30:00+00:00,LOS ANGELES CLIPPERS,,MINNESOTA TIMBERWOLVES,
2024-11-30 01:00:00+00:00,BOSTON CELTICS,,CHICAGO BULLS,
2024-11-30 01:00:00+00:00,DETROIT PISTONS,,INDIANA PACERS,
2024-11-30 01:00:00+00:00,TORONTO RAPTORS,,MIAMI HEAT,
2024-11-30 03:00:00+00:00,OKLAHOMA CITY THUNDER,,LOS ANGELES LAKERS,
2024-11-30 03:00:00+00:00,SACRAMENTO KINGS,,PORTLAND TRAIL BLAZERS,
2024-11-30 23:00:00+00:00,ATLANTA HAWKS,,CHARLOTTE HORNETS,
2024-12-01 00:00:00+00:00,PHILADELPHIA 76ERS,,DETROIT PISTONS,
2024-12-01 01:00:00+00:00,WASHINGTON WIZARDS,,MILWAUKEE BUCKS,
2024-12-01 02:00:00+00:00,GOLDEN STATE WARRIORS,,PHOENIX SUNS,
2024-12-01 02:30:00+00:00,DALLAS MAVERICKS,,UTAH JAZZ,
2024-12-01 20:30:00+00:00,ORLANDO MAGIC,,BROOKLYN NETS,
2024-12-01 20:30:00+00:00,INDIANA PACERS,,MEMPHIS GRIZZLIES,
2024-12-01 23:00:00+00:00,BOSTON CELTICS,,CLEVELAND CAVALIERS,
2024-12-01 23:00:00+00:00,NEW ORLEANS PELICANS,,NEW YORK KNICKS,
2024-12-01 23:00:00+00:00,MIAMI HEAT,,TORONTO RAPTORS,
2024-12-02 00:00:00+00:00,OKLAHOMA CITY THUNDER,,HOUSTON ROCKETS,
2024-12-02 01:00:00+00:00,LOS ANGELES LAKERS,,UTAH JAZZ,
2024-12-02 02:00:00+00:00,DALLAS MAVERICKS,,PORTLAND TRAIL BLAZERS,
2024-12-02 02:00:00+00:00,SAN ANTONIO SPURS,,SACRAMENTO KINGS,
2024-12-02 03:00:00+00:00,DENVER NUGGETS,,LOS ANGELES CLIPPERS,
2024-12-03 00:30:00+00:00,NEW ORLEANS PELICANS,,ATLANTA HAWKS,
2024-12-03 00:30:00+00:00,MIAMI HEAT,,BOSTON CELTICS,
2024-12-03 01:00:00+00:00,BROOKLYN NETS,,CHICAGO BULLS,
2024-12-03 01:00:00+00:00,LOS ANGELES LAKERS,,MINNESOTA TIMBERWOLVES,
2024-12-04 00:00:00+00:00,PHILADELPHIA 76ERS,,CHARLOTTE HORNETS,
2024-12-04 00:00:00+00:00,WASHINGTON WIZARDS,,CLEVELAND CAVALIERS,
2024-12-04 00:00:00+00:00,MILWAUKEE BUCKS,,DETROIT PISTONS,
2024-12-04 00:30:00+00:00,ORLANDO MAGIC,,NEW YORK KNICKS,
2024-12-04 00:30:00+00:00,INDIANA PACERS,,TORONTO RAPTORS,
2024-12-04 01:00:00+00:00,UTAH JAZZ,,OKLAHOMA CITY THUNDER,
2024-12-04 01:30:00+00:00,MEMPHIS GRIZZLIES,,DALLAS MAVERICKS,
2024-12-04 02:00:00+00:00,SAN ANTONIO SPURS,,PHOENIX SUNS,
2024-12-04 03:00:00+00:00,GOLDEN STATE WARRIORS,,DENVER NUGGETS,
2024-12-04 03:00:00+00:00,HOUSTON ROCKETS,,SACRAMENTO KINGS,
2024-12-04 03:30:00+00:00,PORTLAND TRAIL BLAZERS,,LOS ANGELES CLIPPERS,
2024-12-05 00:30:00+00:00,DETROIT PISTONS,,BOSTON CELTICS,
2024-12-05 00:30:00+00:00,INDIANA PACERS,,BROOKLYN NETS,
2024-12-05 00:30:00+00:00,LOS ANGELES LAKERS,,MIAMI HEAT,
2024-12-05 00:30:00+00:00,ORLANDO MAGIC,,PHILADELPHIA 76ERS,
2024-12-05 01:00:00+00:00,ATLANTA HAWKS,,MILWAUKEE BUCKS,
2024-12-05 03:30:00+00:00,MINNESOTA TIMBERWOLVES,,LOS ANGELES CLIPPERS,
2024-12-06 00:00:00+00:00,DENVER NUGGETS,,CLEVELAND CAVALIERS,
2024-12-06 00:00:00+00:00,DALLAS MAVERICKS,,WASHINGTON WIZARDS,
2024-12-06 00:30:00+00:00,CHARLOTTE HORNETS,,NEW YORK KNICKS,
2024-12-06 00:30:00+00:00,OKLAHOMA CITY THUNDER,,TORONTO RAPTORS,
2024-12-06 01:00:00+00:00,SACRAMENTO KINGS,,MEMPHIS GRIZZLIES,
2024-12-06 01:00:00+00:00,PHOENIX SUNS,,NEW ORLEANS PELICANS,
2024-12-06 01:00:00+00:00,CHICAGO BULLS,,SAN ANTONIO SPURS,
2024-12-06 03:00:00+00:00,HOUSTON ROCKETS,,GOLDEN STATE WARRIORS,
2024-12-07 00:00:00+00:00,ORLANDO MAGIC,,PHILADELPHIA 76ERS,
2024-12-07 00:30:00+00:00,LOS ANGELES LAKERS,,ATLANTA HAWKS,
2024-12-07 00:30:00+00:00,MILWAUKEE BUCKS,,BOSTON CELTICS,
2024-12-07 01:00:00+00:00,INDIANA PACERS,,CHICAGO BULLS,
2024-12-07 01:00:00+00:00,SACRAMENTO KINGS,,SAN ANTONIO SPURS,
2024-12-07 03:00:00+00:00,MINNESOTA TIMBERWOLVES,,GOLDEN STATE WARRIORS,
2024-12-07 03:00:00+00:00,UTAH JAZZ,,PORTLAND TRAIL BLAZERS,
2024-12-07 18:00:00+00:00,CLEVELAND CAVALIERS,,CHARLOTTE HORNETS,
2024-12-08 00:00:00+00:00,OKLAHOMA CITY THUNDER,,NEW ORLEANS PELICANS,
2024-12-08 00:00:00+00:00,DENVER NUGGETS,,WASHINGTON WIZARDS,
2024-12-08 00:30:00+00:00,DETROIT PISTONS,,NEW YORK KNICKS,
2024-12-08 00:30:00+00:00,DALLAS MAVERICKS,,TORONTO RAPTORS,
2024-12-08 01:00:00+00:00,MEMPHIS GRIZZLIES,,BOSTON CELTICS,
2024-12-08 01:00:00+00:00,PHOENIX SUNS,,MIAMI HEAT,
2024-12-08 18:00:00+00:00,PHILADELPHIA 76ERS,,CHICAGO BULLS,
2024-12-08 20:30:00+00:00,MILWAUKEE BUCKS,,BROOKLYN NETS,
2024-12-08 22:00:00+00:00,CHARLOTTE HORNETS,,INDIANA PACERS,
2024-12-08 23:00:00+00:00,DENVER NUGGETS,,ATLANTA HAWKS,
2024-12-08 23:00:00+00:00,CLEVELAND CAVALIERS,,MIAMI HEAT,
2024-12-08 23:30:00+00:00,PHOENIX SUNS,,ORLANDO MAGIC,
2024-12-09 00:00:00+00:00,NEW ORLEANS PELICANS,,SAN ANTONIO SPURS,
2024-12-09 00:00:00+00:00,MEMPHIS GRIZZLIES,,WASHINGTON WIZARDS,
2024-12-09 01:30:00+00:00,MINNESOTA TIMBERWOLVES,,GOLDEN STATE WARRIORS,
2024-12-09 02:00:00+00:00,HOUSTON ROCKETS,,LOS ANGELES CLIPPERS,
2024-12-09 02:00:00+00:00,UTAH JAZZ,,SACRAMENTO KINGS,
2024-12-09 02:30:00+00:00,PORTLAND TRAIL BLAZERS,,LOS ANGELES LAKERS,
2024-12-10 00:30:00+00:00,NEW YORK KNICKS,,TORONTO RAPTORS,
2024-12-20 00:00:00+00:00,UTAH JAZZ,,DETROIT PISTONS,
2024-12-20 00:00:00+00:00,OKLAHOMA CITY THUNDER,,ORLANDO MAGIC,
2024-12-20 00:00:00+00:00,CHARLOTTE HORNETS,,WASHINGTON WIZARDS,
2024-12-20 00:30:00+00:00,CHICAGO BULLS,,BOSTON CELTICS,
2024-12-20 00:30:00+00:00,BROOKLYN NETS,,TORONTO RAPTORS,
2024-12-20 01:00:00+00:00,NEW ORLEANS PELICANS,,HOUSTON ROCKETS,
2024-12-20 01:00:00+00:00,GOLDEN STATE WARRIORS,,MEMPHIS GRIZZLIES,
2024-12-20 01:00:00+00:00,NEW YORK KNICKS,,MINNESOTA TIMBERWOLVES,
2024-12-20 01:30:00+00:00,LOS ANGELES CLIPPERS,,DALLAS MAVERICKS,
2024-12-20 02:00:00+00:00,INDIANA PACERS,,PHOENIX SUNS,
2024-12-20 02:30:00+00:00,ATLANTA HAWKS,,SAN ANTONIO SPURS,
2024-12-20 03:00:00+00:00,DENVER NUGGETS,,PORTLAND TRAIL BLAZERS,
2024-12-20 03:00:00+00:00,LOS ANGELES LAKERS,,SACRAMENTO KINGS,
2024-12-21 00:00:00+00:00,CHARLOTTE HORNETS,,PHILADELPHIA 76ERS,
2024-12-21 00:30:00+00:00,MILWAUKEE BUCKS,,CLEVELAND CAVALIERS,
2024-12-21 01:00:00+00:00,OKLAHOMA CITY THUNDER,,MIAMI HEAT,
2024-12-21 23:00:00+00:00,LOS ANGELES LAKERS,,SACRAMENTO KINGS,
2024-12-22 00:00:00+00:00,MIAMI HEAT,,ORLANDO MAGIC,
2024-12-22 00:30:00+00:00,MEMPHIS GRIZZLIES,,ATLANTA HAWKS,
2024-12-22 00:30:00+00:00,UTAH JAZZ,,BROOKLYN NETS,
2024-12-22 01:00:00+00:00,BOSTON CELTICS,,CHICAGO BULLS,
2024-12-22 01:00:00+00:00,PHILADELPHIA 76ERS,,CLEVELAND CAVALIERS,
2024-12-22 01:00:00+00:00,WASHINGTON WIZARDS,,MILWAUKEE BUCKS,
2024-12-22 01:00:00+00:00,GOLDEN STATE WARRIORS,,MINNESOTA TIMBERWOLVES,
2024-12-22 01:00:00+00:00,NEW YORK KNICKS,,NEW ORLEANS PELICANS,
2024-12-22 01:30:00+00:00,LOS ANGELES CLIPPERS,,DALLAS MAVERICKS,
2024-12-22 01:30:00+00:00,PORTLAND TRAIL BLAZERS,,SAN ANTONIO SPURS,
2024-12-22 02:00:00+00:00,DETROIT PISTONS,,PHOENIX SUNS,
2024-12-22 23:00:00+00:00,INDIANA PACERS,,SACRAMENTO KINGS,
2024-12-22 23:00:00+00:00,HOUSTON ROCKETS,,TORONTO RAPTORS,
2024-12-23 00:00:00+00:00,DENVER NUGGETS,,NEW ORLEANS PELICANS,
2024-12-24 00:00:00+00:00,HOUSTON ROCKETS,,CHARLOTTE HORNETS,
2024-12-24 00:00:00+00:00,UTAH JAZZ,,CLEVELAND CAVALIERS,
2024-12-24 00:00:00+00:00,BOSTON CELTICS,,ORLANDO MAGIC,
2024-12-24 00:00:00+00:00,SAN ANTONIO SPURS,,PHILADELPHIA 76ERS,
2024-12-24 00:30:00+00:00,MINNESOTA TIMBERWOLVES,,ATLANTA HAWKS,
2024-12-24 00:30:00+00:00,BROOKLYN NETS,,MIAMI HEAT,
2024-12-24 00:30:00+00:00,TORONTO RAPTORS,,NEW YORK KNICKS,
2024-12-24 01:00:00+00:00,MILWAUKEE BUCKS,,CHICAGO BULLS,
2024-12-24 01:00:00+00:00,LOS ANGELES CLIPPERS,,MEMPHIS GRIZZLIES,
2024-12-24 01:00:00+00:00,WASHINGTON WIZARDS,,OKLAHOMA CITY THUNDER,
2024-12-24 01:30:00+00:00,PORTLAND TRAIL BLAZERS,,DALLAS MAVERICKS,
2024-12-24 03:00:00+00:00,PHOENIX SUNS,,DENVER NUGGETS,
2024-12-24 03:00:00+00:00,INDIANA PACERS,,GOLDEN STATE WARRIORS,
2024-12-24 03:30:00+00:00,DETROIT PISTONS,,LOS ANGELES LAKERS,
2024-12-25 17:00:00+00:00,SAN ANTONIO SPURS,,NEW YORK KNICKS,
2024-12-25 19:30:00+00:00,MINNESOTA TIMBERWOLVES,,DALLAS MAVERICKS,
2024-12-25 22:00:00+00:00,PHILADELPHIA 76ERS,,BOSTON CELTICS,
2024-12-26 01:00:00+00:00,LOS ANGELES LAKERS,,GOLDEN STATE WARRIORS,
2024-12-26 03:30:00+00:00,DENVER NUGGETS,,PHOENIX SUNS,
2024-12-27 00:00:00+00:00,OKLAHOMA CITY THUNDER,,INDIANA PACERS,
2024-12-27 00:00:00+00:00,MIAMI HEAT,,ORLANDO MAGIC,
2024-12-27 00:00:00+00:00,CHARLOTTE HORNETS,,WASHINGTON WIZARDS,
2024-12-27 00:30:00+00:00,CHICAGO BULLS,,ATLANTA HAWKS,
2024-12-27 01:00:00+00:00,TORONTO RAPTORS,,MEMPHIS GRIZZLIES,
2024-12-27 01:00:00+00:00,BROOKLYN NETS,,MILWAUKEE BUCKS,
2024-12-27 01:00:00+00:00,HOUSTON ROCKETS,,NEW ORLEANS PELICANS,
2024-12-27 03:00:00+00:00,UTAH JAZZ,,PORTLAND TRAIL BLAZERS,
2024-12-27 03:00:00+00:00,DETROIT PISTONS,,SACRAMENTO KINGS,
2024-12-28 00:00:00+00:00,NEW YORK KNICKS,,ORLANDO MAGIC,
2024-12-28 00:30:00+00:00,INDIANA PACERS,,BOSTON CELTICS,
2024-12-28 00:30:00+00:00,SAN ANTONIO SPURS,,BROOKLYN NETS,
2024-12-28 01:00:00+00:00,MINNESOTA TIMBERWOLVES,,HOUSTON ROCKETS,
2024-12-28 01:00:00+00:00,MEMPHIS GRIZZLIES,,NEW ORLEANS PELICANS,
2024-12-28 02:00:00+00:00,CLEVELAND CAVALIERS,,DENVER NUGGETS,
2024-12-28 02:00:00+00:00,DALLAS MAVERICKS,,PHOENIX SUNS,
2024-12-28 03:00:00+00:00,GOLDEN STATE WARRIORS,,LOS ANGELES CLIPPERS,
2024-12-28 20:00:00+00:00,MIAMI HEAT,,ATLANTA HAWKS,
2024-12-28 23:00:00+00:00,OKLAHOMA CITY THUNDER,,CHARLOTTE HORNETS,
2024-12-29 00:00:00+00:00,NEW YORK KNICKS,,WASHINGTON WIZARDS,
2024-12-29 01:00:00+00:00,MILWAUKEE BUCKS,,CHICAGO BULLS,
2024-12-29 01:30:00+00:00,PHOENIX SUNS,,GOLDEN STATE WARRIORS,
2024-12-29 02:00:00+00:00,DETROIT PISTONS,,DENVER NUGGETS,
2024-12-29 02:30:00+00:00,PHILADELPHIA 76ERS,,UTAH JAZZ,
2024-12-29 03:00:00+00:00,DALLAS MAVERICKS,,PORTLAND TRAIL BLAZERS,
2024-12-29 03:30:00+00:00,SACRAMENTO KINGS,,LOS ANGELES LAKERS,
2024-12-29 20:30:00+00:00,BROOKLYN NETS,,ORLANDO MAGIC,
